PRN,College,Branch,TotalNoGrace,TotalGrace,SumTotal,SCM_PP,SCM_PR,SCM_OR,SCM_TW,MTD|AE_PP,MTD|AE_PR,MTD|AE_OR,MTD|AE_TW,ORM_PP,ORM_PR,ORM_OR,ORM_TW,CAIPE_PP,CAIPE_PR,CAIPE_OR,CAIPE_TW,(PRO_PP,(PRO_PR,(PRO_OR,(PRO_TW,APT_PP,APT_PR,APT_OR,APT_TW,MAR_PP,MAR_PR,MAR_OR,MAR_TW,EHFIE|PD_PP,EHFIE|PD_PR,EHFIE|PD_OR,EHFIE|PD_TW,IIPT_PP,IIPT_PR,IIPT_OR,IIPT_TW,TPP_PP,TPP_PR,TPP_OR,TPP_TW
12345678Z,COLNAME,PROD,1096,0,1096,61,0,0,44,63,0,0,45,54,0,43,0,0,0,0,44,0,0,89,90,64,0,0,45,76,0,45,0,56,0,0,0,0,0,93,0,0,0,22,23
12345678Z,COLNAME,PROD,947,0,947,56,0,0,43,44,0,0,39,40,0,42,0,0,0,0,43,0,0,80,83,42,0,0,43,49,0,35,0,58,0,0,0,0,0,78,0,0,0,20,20
12345678Z,COLNAME,PROD,942,0,942,61,0,0,40,58,0,0,38,45,0,34,0,0,0,0,38,0,0,76,80,45,0,0,38,50,0,35,0,46,0,0,0,0,0,82,0,0,0,21,23
12345678Z,COLNAME,PROD,922,0,922,56,0,0,44,42,0,0,40,46,0,40,0,0,0,0,41,0,0,77,84,48,0,0,39,42,0,36,0,44,0,0,0,0,0,79,0,0,0,21,23
12345678Z,COLNAME,PROD,919,0,919,60,0,0,40,61,0,0,34,51,0,34,0,0,0,0,34,0,0,72,79,45,0,0,36,44,0,31,0,62,0,0,0,0,0,75,0,0,0,20,21
12345678Z,COLNAME,PROD,899,0,899,52,0,0,40,48,0,0,32,40,0,34,0,0,0,0,35,0,0,76,78,45,0,0,36,44,0,30,0,57,0,0,0,0,0,82,0,0,0,20,20
12345678Z,COLNAME,PROD,986,0,986,60,0,0,40,59,0,0,40,40,0,37,0,0,0,0,44,0,0,87,89,47,0,0,44,45,0,45,0,41,0,0,0,0,0,87,0,0,0,21,22
12345678Z,COLNAME,PROD,1063,0,1063,60,0,0,45,59,0,0,45,54,0,47,0,0,0,0,45,0,0,76,92,56,0,0,45,60,0,45,0,57,0,0,0,0,0,93,0,0,0,23,22
12345678Z,COLNAME,PROD,1017,0,1017,54,0,0,44,49,0,0,44,40,0,43,0,0,0,0,43,0,0,89,90,57,0,0,44,48,0,43,0,51,0,0,0,0,0,93,0,0,0,22,24
12345678Z,COLNAME,PROD,869,0,869,52,0,0,41,45,0,0,39,45,0,39,0,0,0,0,40,0,0,66,73,41,0,0,40,45,0,37,0,47,0,0,0,0,0,70,0,0,0,17,17
12345678Z,COLNAME,PROD,867,0,867,48,0,0,41,41,0,0,38,40,0,28,0,0,0,0,34,0,0,80,82,40,0,0,36,43,0,30,0,42,0,0,0,0,0,79,0,0,0,20,20
12345678Z,COLNAME,PROD,907,0,907,62,0,0,37,52,0,0,35,51,0,32,0,0,0,0,34,0,0,71,80,55,0,0,38,53,0,38,0,43,0,0,0,0,0,70,0,0,0,18,18
12345678Z,COLNAME,PROD,920,0,920,55,0,0,40,46,0,0,37,40,0,34,0,0,0,0,35,0,0,78,83,40,0,0,37,54,0,32,0,61,0,0,0,0,0,77,0,0,0,20,22
12345678Z,COLNAME,PROD,907,0,907,52,0,0,41,42,0,0,37,55,0,40,0,0,0,0,41,0,0,70,77,44,0,0,38,47,0,36,0,40,0,0,0,0,0,79,0,0,0,19,21
12345678Z,COLNAME,PROD,1031,0,1031,56,0,0,46,56,0,0,45,55,0,45,0,0,0,0,44,0,0,87,89,53,0,0,45,43,0,45,0,48,0,0,0,0,0,90,0,0,0,22,24
12345678Z,COLNAME,PROD,938,0,938,48,0,0,43,49,0,0,42,53,0,40,0,0,0,0,42,0,0,76,80,43,0,0,40,47,0,36,0,49,0,0,0,0,0,79,0,0,0,19,20
12345678Z,COLNAME,PROD,928,0,928,47,0,0,44,45,0,0,42,40,0,40,0,0,0,0,42,0,0,81,82,40,0,0,40,45,0,37,0,51,0,0,0,0,0,79,0,0,0,20,21
12345678Z,COLNAME,PROD,950,0,950,57,0,0,43,51,0,0,39,41,0,42,0,0,0,0,40,0,0,75,80,49,0,0,41,59,0,37,0,56,0,0,0,0,0,74,0,0,0,20,21
